Asset Tag,Model,Serial,Username,Active Directory Last Logon,Success
D00365,Optiplex 7020,5F9JF42,,2/9/2020 4:52:25 AM,Success
D03205,Optiplex 7040,7Q1DHH2,kka07001,2/10/2020 5:04:02 PM,Success
C09995,Optiplex 790,B9NLTV1,,2/11/2020 2:00:50 AM,Success
D06987,Optiplex 7060,BWGQCV2,mim15004,2/8/2020 4:06:08 PM,Success
W54844,OptiPlex 990,F3JKSR1,xil11015,2/9/2020 10:50:23 AM,Success
D06515,Latitude 7390,HPQGMQ2,ajp15109,1/23/2020 11:51:18 AM,Success
C07470,Latitude E5440,FJN0J12,,10/15/2019 2:30:52 PM,Success
C07469,Latitude E5440,CHN0J12,,2/3/2020 10:32:47 AM,Success
C09996,Latitude 7400,GS863X2,lig18010,2/3/2020 7:34:52 PM,Success
C11219,MacBook Pro A1989,C02Z3049LVDN,str18002,2/5/2020 2:23:39 PM,Success
W64199,Latitude E6440,D080M32,elz05001,10/21/2019 4:46:08 AM,Success
W53000,Latitude,1N109P1,thd12002,8/3/2019 3:02:10 PM,Success
W64198,Latitude E6440,4840M32,kag05015,7/25/2019 10:42:50 AM,Success
D08012,Latitude 7490,8B6X6Y2,lss04002,2/9/2020 3:07:34 PM,Success
C09999,Optiplex 7010,8949GZ1,cnb09006,1/21/2020 6:42:48 PM,Success
C03783,Optiplex 7010,CC0BCY1,cnb09006,1/22/2020 1:11:02 AM,Success
C09998,HP Probook 4540,2CE334130C,cnb09006,7/23/2019 2:55:58 PM,Success
C11211,Macbook Pro A1990,C02Z20RPLVDV,ltb19004,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C05041,Latitude 7480,C4SB7H2,,1/31/2020 2:06:36 PM,Success
C07464,Optiplex 7010,4V5SZ12,das14014,1/21/2020 7:48:48 PM,Success
C07465,Optiplex 7010,4V6RZ12,das14014,1/22/2020 1:40:42 AM,Success
C10002,Optiplex 7010,6XRT7Y1,nic04002,1/19/2020 3:21:20 AM,Success
C10001,Optiplex 7010,6XRS7Y1,nic04002,1/22/2020 1:22:45 AM,Success
C10000,Optiplex 7010,6XRQ7Y1,plh13006,1/20/2020 11:57:20 AM,Success
W64181,Latitude E6440,G7DXK32,nic04002,9/25/2019 12:46:59 PM,Success
D07992,Latitude 7490,5WYZ2X2,mas07022,2/7/2020 4:20:29 PM,Success
C10003,Optiplex 790,BS1V3V1,mar05011,2/6/2020 12:44:33 PM,Success
D00762,Optiplex 9020,5WDL282,map02017,2/10/2020 8:43:20 PM,Success
W60202,Optiplex 9010,CY059Z1,kmn02004,2/7/2020 11:31:09 AM,Success
D06245,Latitude 7390,3MZTPQ2,kjm18009,1/26/2020 6:16:30 PM,Success
AC6990,VersaLink B600 DN,9XA393283,,,Success
AC6977,VersaLink B600 DN,9XA393246,,,Success
C10004,Optiplex 7010,8N3ZXV1,jwn10001,1/17/2020 3:42:42 AM,Success
C10005,Optiplex 9020,JGV0N22,blg06008,2/10/2020 3:15:49 AM,Success
C10006,Latitude E6440,HRFWK32,jed02013,8/13/2019 2:05:20 PM,Success
C03814,Optiplex 7050,5XN3JH2,yiz00003,10/8/2019 11:09:42 PM,Success
D08089,Latitude 7490,98NV6Y2,chb19012,2/9/2020 10:43:49 PM,Success
C02324,Optiplex 9020,3M3HHB2,mar05011,2/10/2020 1:23:06 PM,Success
C02323,Optiplex 9020,3LSLHB2,mar05011,2/6/2020 2:01:44 PM,Success
C05040,Latitude 7480,BH997H2,kek13006,2/10/2020 8:02:13 AM,Success
C10007,iMac,D25W50NWJ1GN,ans15103,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D08107,Optiplex 7060,GG573Y2,rof15102,2/11/2020 1:49:19 AM,Success
C03482,iMac,C025W1NLGG7J,evm19004,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07921,Latitude 5500,341R0X2,jed02013,2/9/2020 1:27:17 AM,Success
D00919,Optiplex 7020,7N2X482,hoa07001,9/9/2019 3:18:43 AM,Success
W60203,Optiplex 9010,CY139Z1,cmb07034,2/7/2020 4:06:18 PM,Success
D07896,Optiplex 7060,3HNCFX2,jcm17024,2/10/2020 3:10:04 AM,Success
D00385,Optiplex 7020,FWFCR52,mar05011,2/9/2020 4:50:01 AM,Success
C10008,Optiplex 790,4RS94V1,,2/10/2020 1:02:02 AM,Success
D07899,Latitude 7390,767Z5Y2,cav17006,1/26/2020 3:10:06 PM,Success
